Postal Code,City
81071,Mulatiyana Junction
81072,Gomilamawarala
81074,Rotumba
81100,Kamburupitiya
81108,Horapawita
81110,Kamburupitiya
81160,Devinuwara (Devundara)
81170,Gandara
81180,Kottegoda
81200,Dikwella
81220,Walasgala
81230,Urugamuwa
81280,Thihagoda
81290,Puhulwella
81294,Walakanda
81300,Hakmana
81312,Miella
81314,Denagama
81316,Radawela
81320,Deiyandara
81322,Parapamulla
81326,Handugala
81400,Akuressa
81402,Athuraliya
81408,Godapitiya
81412,Bopagoda
81414,Urumutta
81416,Maramba
81422,Diyalape
81424,Maliduwa
81450,Pitabeddara
81452,Deegala Llenama
81454,Derangala
81462,Siyambalagoda
81470,Morawaka
81472,Pahala Millawa
81474,Paragala
81475,Alapaladeniya
81477,Dellawa
81478,Kalubowitiyana
81479,Waralla
81500,Deniyaya
81508,Viharahena
81524,Mediripitiya
81526,Lankagama
81538,Pothdeniya
